#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AR	CYP3A4	9606.ENSP00000363822	9606.ENSP00000337915	0	0	0	0	0	0.073	0	0.455	0.473
AR	E2F1	9606.ENSP00000363822	9606.ENSP00000345571	0	0	0	0	0	0.281	0	0.417	0.563
AR	SREBF1	9606.ENSP00000363822	9606.ENSP00000348069	0	0	0	0	0	0.270	0	0.370	0.520
AR	CASP8	9606.ENSP00000363822	9606.ENSP00000351273	0	0	0	0	0	0.345	0.900	0.614	0.972
AR	PTGS2	9606.ENSP00000363822	9606.ENSP00000356438	0	0	0	0	0	0.056	0	0.412	0.421
AR	JUN	9606.ENSP00000363822	9606.ENSP00000360266	0	0	0	0	0	0.499	0	0.928	0.962
AR	PTEN	9606.ENSP00000363822	9606.ENSP00000361021	0	0	0	0	0	0.282	0	0.861	0.896
AR	MMP9	9606.ENSP00000363822	9606.ENSP00000361405	0	0	0	0	0	0	0	0.507	0.507
AR	GSTP1	9606.ENSP00000363822	9606.ENSP00000381607	0	0	0	0	0	0.062	0	0.456	0.467
AR	TNF	9606.ENSP00000363822	9606.ENSP00000398698	0	0	0	0	0	0	0	0.469	0.469
AR	ESR1	9606.ENSP00000363822	9606.ENSP00000405330	0	0	0	0.656	0.062	0.213	0	0.984	0.490
AR	CDKN1A	9606.ENSP00000363822	9606.ENSP00000384849	0	0	0	0	0	0	0	0.505	0.505
AR	IL6	9606.ENSP00000363822	9606.ENSP00000385675	0	0	0	0	0	0	0	0.560	0.560
AR	RELA	9606.ENSP00000363822	9606.ENSP00000384273	0	0	0	0	0	0.489	0	0.501	0.734
AR	CYP19A1	9606.ENSP00000363822	9606.ENSP00000379683	0	0	0	0	0	0.073	0	0.799	0.806
AR	HIF1A	9606.ENSP00000363822	9606.ENSP00000437955	0	0	0	0	0	0.521	0	0.722	0.861
AR	MAPK8	9606.ENSP00000363822	9606.ENSP00000378974	0	0	0	0	0	0	0.900	0.285	0.925
AR	NCOA2	9606.ENSP00000363822	9606.ENSP00000399968	0	0	0	0	0	0.977	0.900	0.954	0.999
AR	NCOA1	9606.ENSP00000363822	9606.ENSP00000385216	0	0	0	0	0	0.895	0.900	0.964	0.999
BCL2	CTSD	9606.ENSP00000381185	9606.ENSP00000236671	0	0	0	0	0	0	0.600	0.061	0.608
BCL2	MAPK3	9606.ENSP00000381185	9606.ENSP00000263025	0	0	0	0	0	0.213	0.900	0.297	0.939
BCL2	TP53	9606.ENSP00000381185	9606.ENSP00000269305	0	0	0	0	0.051	0.884	0.900	0.628	0.995
BCL2	SOD1	9606.ENSP00000381185	9606.ENSP00000270142	0	0	0	0	0	0.297	0.800	0.150	0.870
BCL2	CASP3	9606.ENSP00000381185	9606.ENSP00000311032	0	0	0	0	0	0.539	0	0.622	0.818
BCL2	CASP9	9606.ENSP00000381185	9606.ENSP00000330237	0	0	0	0	0	0.178	0	0.511	0.581
BCL2	CASP8	9606.ENSP00000381185	9606.ENSP00000351273	0	0	0	0	0	0.726	0	0.432	0.838
BCL2	MAPK8	9606.ENSP00000381185	9606.ENSP00000378974	0	0	0	0	0	0.471	0.900	0.258	0.957
BCL2	HIF1A	9606.ENSP00000381185	9606.ENSP00000437955	0	0	0	0	0	0.538	0	0.324	0.674
BCL2	RXRA	9606.ENSP00000381185	9606.ENSP00000419692	0	0	0	0	0	0.057	0.900	0	0.901
BCL2	ESR1	9606.ENSP00000381185	9606.ENSP00000405330	0	0	0	0	0.069	0.057	0.900	0.244	0.924
CALCR	TNF	9606.ENSP00000352561	9606.ENSP00000398698	0	0	0	0	0	0	0	0.403	0.403
CALCR	MMP9	9606.ENSP00000352561	9606.ENSP00000361405	0	0	0	0	0	0	0	0.518	0.518
CASP3	HMOX1	9606.ENSP00000311032	9606.ENSP00000216117	0	0	0	0	0	0	0	0.762	0.762
CASP3	MMP2	9606.ENSP00000311032	9606.ENSP00000219070	0	0	0	0	0	0	0	0.681	0.681
CASP3	GSR	9606.ENSP00000311032	9606.ENSP00000221130	0	0	0	0	0	0	0	0.603	0.603
CASP3	TGFB1	9606.ENSP00000311032	9606.ENSP00000221930	0	0	0	0	0	0	0	0.578	0.578
CASP3	SERPINE1	9606.ENSP00000311032	9606.ENSP00000223095	0	0	0	0	0	0	0	0.470	0.470
CASP3	MPO	9606.ENSP00000311032	9606.ENSP00000225275	0	0	0	0	0	0	0	0.660	0.660
CASP3	CCL2	9606.ENSP00000311032	9606.ENSP00000225831	0	0	0	0	0.049	0	0	0.636	0.639
CASP3	COL1A1	9606.ENSP00000311032	9606.ENSP00000225964	0	0	0	0	0	0	0	0.404	0.404
CASP3	IFNG	9606.ENSP00000311032	9606.ENSP00000229135	0	0	0	0	0	0	0	0.608	0.608
CASP3	MAPK14	9606.ENSP00000311032	9606.ENSP00000229795	0	0	0	0	0.061	0.282	0.900	0.709	0.977
CASP3	CTSD	9606.ENSP00000311032	9606.ENSP00000236671	0	0	0	0	0	0.058	0	0.567	0.575
CASP3	CAT	9606.ENSP00000311032	9606.ENSP00000241052	0	0	0	0	0	0	0	0.779	0.779
CASP3	HSPB1	9606.ENSP00000311032	9606.ENSP00000248553	0	0	0	0	0	0.303	0	0.699	0.782
CASP3	CRP	9606.ENSP00000311032	9606.ENSP00000255030	0	0	0	0	0	0	0	0.494	0.494
CASP3	MAPK3	9606.ENSP00000311032	9606.ENSP00000263025	0	0	0	0	0	0.057	0.800	0.821	0.963
CASP3	IL1A	9606.ENSP00000311032	9606.ENSP00000263339	0	0	0	0	0	0	0	0.528	0.528
CASP3	IL1B	9606.ENSP00000311032	9606.ENSP00000263341	0	0	0	0	0	0.056	0	0.825	0.827
CASP3	ICAM1	9606.ENSP00000311032	9606.ENSP00000264832	0	0	0	0	0	0	0	0.643	0.643
CASP3	TP53	9606.ENSP00000311032	9606.ENSP00000269305	0	0	0	0	0.062	0.270	0	0.900	0.925
CASP3	SOD1	9606.ENSP00000311032	9606.ENSP00000270142	0	0	0	0	0	0.102	0	0.604	0.629
CASP3	EGFR	9606.ENSP00000311032	9606.ENSP00000275493	0	0	0	0	0	0.060	0	0.754	0.759
CASP3	PPARG	9606.ENSP00000311032	9606.ENSP00000287820	0	0	0	0	0	0.060	0	0.637	0.644
CASP3	CXCL10	9606.ENSP00000311032	9606.ENSP00000305651	0	0	0	0	0	0	0	0.469	0.469
CASP3	CXCL8	9606.ENSP00000311032	9606.ENSP00000306512	0	0	0	0	0	0	0	0.668	0.668
CASP3	CD40LG	9606.ENSP00000311032	9606.ENSP00000359663	0	0	0	0	0	0.056	0	0.394	0.403
CASP3	DPP4	9606.ENSP00000311032	9606.ENSP00000353731	0	0	0	0	0.052	0	0	0.406	0.413
CASP3	E2F1	9606.ENSP00000311032	9606.ENSP00000345571	0	0	0	0	0	0	0	0.414	0.414
CASP3	SLC2A4	9606.ENSP00000311032	9606.ENSP00000320935	0	0	0	0	0	0	0	0.415	0.415
CASP3	CYP19A1	9606.ENSP00000311032	9606.ENSP00000379683	0	0	0	0	0	0	0	0.426	0.426
CASP3	MMP1	9606.ENSP00000311032	9606.ENSP00000322788	0	0	0	0	0	0	0	0.472	0.472
CASP3	NOS2	9606.ENSP00000311032	9606.ENSP00000327251	0	0	0	0	0	0	0	0.529	0.529
CASP3	PPARA	9606.ENSP00000311032	9606.ENSP00000385523	0	0	0	0	0	0.060	0	0.522	0.531
CASP3	ESR2	9606.ENSP00000311032	9606.ENSP00000343925	0	0	0	0	0	0.060	0	0.533	0.542
CASP3	RELA	9606.ENSP00000311032	9606.ENSP00000384273	0	0	0	0	0	0	0	0.567	0.567
CASP3	SPP1	9606.ENSP00000311032	9606.ENSP00000378517	0	0	0	0	0	0.270	0	0.459	0.588
CASP3	NQO1	9606.ENSP00000311032	9606.ENSP00000319788	0	0	0	0	0	0	0	0.596	0.596
CASP3	CHUK	9606.ENSP00000311032	9606.ENSP00000359424	0	0	0	0	0.077	0.103	0	0.572	0.615
CASP3	IKBKB	9606.ENSP00000311032	9606.ENSP00000430684	0	0	0	0	0	0.103	0	0.605	0.630
CASP3	ESR1	9606.ENSP00000311032	9606.ENSP00000405330	0	0	0	0	0	0.060	0	0.674	0.680
CASP3	IL10	9606.ENSP00000311032	9606.ENSP00000412237	0	0	0	0	0	0	0	0.700	0.700
CASP3	STAT1	9606.ENSP00000311032	9606.ENSP00000354394	0	0	0	0	0.063	0.271	0	0.598	0.701
CASP3	NFE2L2	9606.ENSP00000311032	9606.ENSP00000380252	0	0	0	0	0	0.213	0	0.650	0.712
CASP3	HIF1A	9606.ENSP00000311032	9606.ENSP00000437955	0	0	0	0	0.049	0	0	0.718	0.720
CASP3	PTGS2	9606.ENSP00000311032	9606.ENSP00000356438	0	0	0	0	0	0	0	0.721	0.721
CASP3	PTEN	9606.ENSP00000311032	9606.ENSP00000361021	0	0	0	0	0.062	0	0	0.762	0.767
CASP3	MMP9	9606.ENSP00000311032	9606.ENSP00000361405	0	0	0	0	0.063	0	0	0.766	0.772
CASP3	MAPK8	9606.ENSP00000311032	9606.ENSP00000378974	0	0	0	0	0.054	0.270	0	0.714	0.785
CASP3	IL6	9606.ENSP00000311032	9606.ENSP00000385675	0	0	0	0	0	0	0	0.836	0.836
CASP3	JUN	9606.ENSP00000311032	9606.ENSP00000360266	0	0	0	0	0	0.057	0	0.834	0.837
CASP3	TNF	9606.ENSP00000311032	9606.ENSP00000398698	0	0	0	0	0	0.102	0	0.889	0.896
CASP3	PRKCA	9606.ENSP00000311032	9606.ENSP00000408695	0	0	0	0	0	0	0.800	0.505	0.896
CASP3	SREBF1	9606.ENSP00000311032	9606.ENSP00000348069	0	0	0	0	0	0	0.900	0.422	0.939
CASP3	CASP8	9606.ENSP00000311032	9606.ENSP00000351273	0	0	0	0.835	0.062	0.768	0.900	0.960	0.980
CASP3	CASP9	9606.ENSP00000311032	9606.ENSP00000330237	0	0	0	0.833	0	0.870	0.900	0.968	0.988
CASP3	CDKN1A	9606.ENSP00000311032	9606.ENSP00000384849	0	0	0	0	0	0.770	0.800	0.883	0.994
CASP8	HMOX1	9606.ENSP00000351273	9606.ENSP00000216117	0	0	0	0	0	0	0	0.459	0.459
CASP8	MMP2	9606.ENSP00000351273	9606.ENSP00000219070	0	0	0	0	0.062	0	0	0.463	0.474
CASP8	CCL2	9606.ENSP00000351273	9606.ENSP00000225831	0	0	0	0	0.062	0	0	0.459	0.470
CASP8	COL1A1	9606.ENSP00000351273	9606.ENSP00000225964	0	0	0	0	0	0	0.900	0.180	0.914
CASP8	IFNG	9606.ENSP00000351273	9606.ENSP00000229135	0	0	0	0	0.062	0	0	0.508	0.519
CASP8	MAPK14	9606.ENSP00000351273	9606.ENSP00000229795	0	0	0	0	0	0.282	0	0.596	0.698
CASP8	CTSD	9606.ENSP00000351273	9606.ENSP00000236671	0	0	0	0	0.052	0.058	0	0.415	0.432
CASP8	CAT	9606.ENSP00000351273	9606.ENSP00000241052	0	0	0	0	0.062	0	0	0.575	0.584
CASP8	HSPB1	9606.ENSP00000351273	9606.ENSP00000248553	0	0	0	0	0	0.058	0	0.467	0.477
CASP8	MAPK3	9606.ENSP00000351273	9606.ENSP00000263025	0	0	0	0	0	0.282	0.900	0.746	0.980
CASP8	IL1A	9606.ENSP00000351273	9606.ENSP00000263339	0	0	0	0	0.062	0	0	0.461	0.472
CASP8	IL1B	9606.ENSP00000351273	9606.ENSP00000263341	0	0	0	0	0.063	0.182	0.900	0.715	0.975
CASP8	ICAM1	9606.ENSP00000351273	9606.ENSP00000264832	0	0	0	0	0.064	0	0	0.426	0.440
CASP8	TP53	9606.ENSP00000351273	9606.ENSP00000269305	0	0	0	0	0.143	0.270	0.800	0.839	0.977
CASP8	SOD1	9606.ENSP00000351273	9606.ENSP00000270142	0	0	0	0	0	0.102	0	0.415	0.452
CASP8	EGFR	9606.ENSP00000351273	9606.ENSP00000275493	0	0	0	0	0	0.060	0	0.597	0.605
CASP8	PPARG	9606.ENSP00000351273	9606.ENSP00000287820	0	0	0	0	0.062	0.060	0	0.403	0.427
CASP8	COL3A1	9606.ENSP00000351273	9606.ENSP00000304408	0	0	0	0	0	0	0.900	0.086	0.904
CASP8	CXCL8	9606.ENSP00000351273	9606.ENSP00000306512	0	0	0	0	0.067	0	0	0.525	0.538
CASP8	CASP9	9606.ENSP00000351273	9606.ENSP00000330237	0	0	0	0.707	0.053	0.488	0	0.961	0.636
CASP8	ESR2	9606.ENSP00000351273	9606.ENSP00000343925	0	0	0	0	0	0.060	0	0.476	0.487
CASP8	RASSF1	9606.ENSP00000351273	9606.ENSP00000349547	0	0	0	0	0	0	0	0.470	0.470
CASP8	CD40LG	9606.ENSP00000351273	9606.ENSP00000359663	0	0	0	0	0.085	0.056	0	0.384	0.421
CASP8	SPP1	9606.ENSP00000351273	9606.ENSP00000378517	0	0	0	0	0	0.270	0	0.265	0.440
CASP8	STAT1	9606.ENSP00000351273	9606.ENSP00000354394	0	0	0	0	0.062	0	0	0.484	0.495
CASP8	HIF1A	9606.ENSP00000351273	9606.ENSP00000437955	0	0	0	0	0.062	0	0	0.507	0.517
CASP8	ESR1	9606.ENSP00000351273	9606.ENSP00000405330	0	0	0	0	0	0.060	0	0.517	0.526
CASP8	PTGS2	9606.ENSP00000351273	9606.ENSP00000356438	0	0	0	0	0.060	0	0	0.529	0.538
CASP8	IL10	9606.ENSP00000351273	9606.ENSP00000412237	0	0	0	0	0	0	0	0.540	0.540
CASP8	MMP9	9606.ENSP00000351273	9606.ENSP00000361405	0	0	0	0	0	0	0	0.544	0.544
CASP8	CDKN1A	9606.ENSP00000351273	9606.ENSP00000384849	0	0	0	0	0	0	0	0.569	0.569
CASP8	PTEN	9606.ENSP00000351273	9606.ENSP00000361021	0	0	0	0	0.048	0.270	0	0.568	0.674
CASP8	IL6	9606.ENSP00000351273	9606.ENSP00000385675	0	0	0	0	0.062	0	0	0.699	0.706
CASP8	JUN	9606.ENSP00000351273	9606.ENSP00000360266	0	0	0	0	0	0.057	0	0.704	0.709
CASP8	MAPK8	9606.ENSP00000351273	9606.ENSP00000378974	0	0	0	0	0	0.287	0	0.624	0.720
CASP8	RELA	9606.ENSP00000351273	9606.ENSP00000384273	0	0	0	0	0.062	0	0.900	0.571	0.956
CASP8	IKBKB	9606.ENSP00000351273	9606.ENSP00000430684	0	0	0	0	0.062	0.317	0.900	0.579	0.969
CASP8	CHUK	9606.ENSP00000351273	9606.ENSP00000359424	0	0	0	0	0.053	0.317	0.900	0.830	0.987
CASP8	TNF	9606.ENSP00000351273	9606.ENSP00000398698	0	0	0	0	0.062	0.282	0.900	0.868	0.989
CASP9	HMOX1	9606.ENSP00000330237	9606.ENSP00000216117	0	0	0	0	0	0	0	0.561	0.561
CASP9	MMP2	9606.ENSP00000330237	9606.ENSP00000219070	0	0	0	0	0	0	0	0.519	0.519
CASP9	GSR	9606.ENSP00000330237	9606.ENSP00000221130	0	0	0	0	0	0	0	0.439	0.439
CASP9	MAPK14	9606.ENSP00000330237	9606.ENSP00000229795	0	0	0	0	0	0.057	0	0.550	0.557
CASP9	CAT	9606.ENSP00000330237	9606.ENSP00000241052	0	0	0	0	0	0	0	0.665	0.665
CASP9	HSPB1	9606.ENSP00000330237	9606.ENSP00000248553	0	0	0	0	0	0.132	0	0.533	0.577
CASP9	MAPK3	9606.ENSP00000330237	9606.ENSP00000263025	0	0	0	0	0	0.226	0.900	0.651	0.970
CASP9	IL1B	9606.ENSP00000330237	9606.ENSP00000263341	0	0	0	0	0	0.056	0	0.612	0.618
CASP9	TP53	9606.ENSP00000330237	9606.ENSP00000269305	0	0	0	0	0.062	0	0	0.859	0.862
CASP9	SOD1	9606.ENSP00000330237	9606.ENSP00000270142	0	0	0	0	0	0.102	0	0.418	0.455
CASP9	EGFR	9606.ENSP00000330237	9606.ENSP00000275493	0	0	0	0	0	0.060	0	0.615	0.623
CASP9	PPARG	9606.ENSP00000330237	9606.ENSP00000287820	0	0	0	0	0	0.060	0	0.421	0.432
CASP9	CXCL8	9606.ENSP00000330237	9606.ENSP00000306512	0	0	0	0	0	0	0	0.467	0.467
CASP9	STAT1	9606.ENSP00000330237	9606.ENSP00000354394	0	0	0	0	0	0	0	0.401	0.401
CASP9	RELA	9606.ENSP00000330237	9606.ENSP00000384273	0	0	0	0	0	0	0	0.406	0.406
CASP9	NFE2L2	9606.ENSP00000330237	9606.ENSP00000380252	0	0	0	0	0	0	0	0.457	0.457
CASP9	IL10	9606.ENSP00000330237	9606.ENSP00000412237	0	0	0	0	0	0	0	0.462	0.462
CASP9	IKBKB	9606.ENSP00000330237	9606.ENSP00000430684	0	0	0	0	0.062	0.103	0	0.414	0.463
CASP9	CHUK	9606.ENSP00000330237	9606.ENSP00000359424	0	0	0	0	0	0.103	0	0.459	0.493
CASP9	ESR1	9606.ENSP00000330237	9606.ENSP00000405330	0	0	0	0	0	0.060	0	0.504	0.513
CASP9	HIF1A	9606.ENSP00000330237	9606.ENSP00000437955	0	0	0	0	0	0	0	0.523	0.523
CASP9	PTGS2	9606.ENSP00000330237	9606.ENSP00000356438	0	0	0	0	0	0	0	0.568	0.568
CASP9	MAPK8	9606.ENSP00000330237	9606.ENSP00000378974	0	0	0	0	0	0	0	0.609	0.609
CASP9	CDKN1A	9606.ENSP00000330237	9606.ENSP00000384849	0	0	0	0	0	0	0	0.618	0.618
CASP9	MMP9	9606.ENSP00000330237	9606.ENSP00000361405	0	0	0	0	0	0	0	0.619	0.619
CASP9	IL6	9606.ENSP00000330237	9606.ENSP00000385675	0	0	0	0	0	0	0	0.624	0.624
CASP9	PTEN	9606.ENSP00000330237	9606.ENSP00000361021	0	0	0	0	0.048	0	0	0.628	0.630
CASP9	TNF	9606.ENSP00000330237	9606.ENSP00000398698	0	0	0	0	0	0.058	0	0.716	0.721
CASP9	JUN	9606.ENSP00000330237	9606.ENSP00000360266	0	0	0	0	0	0.329	0	0.688	0.782
CAT	HMOX1	9606.ENSP00000241052	9606.ENSP00000216117	0	0	0	0	0.062	0.101	0	0.882	0.892
CAT	MMP2	9606.ENSP00000241052	9606.ENSP00000219070	0	0	0	0	0	0	0	0.460	0.459
CAT	GSR	9606.ENSP00000241052	9606.ENSP00000221130	0	0	0	0	0.218	0.260	0	0.953	0.970
CAT	TGFB1	9606.ENSP00000241052	9606.ENSP00000221930	0	0	0	0	0	0	0	0.436	0.436
CAT	PON1	9606.ENSP00000241052	9606.ENSP00000222381	0	0	0	0	0.062	0	0	0.596	0.604
CAT	SERPINE1	9606.ENSP00000241052	9606.ENSP00000223095	0	0	0	0	0	0	0	0.436	0.436
CAT	MPO	9606.ENSP00000241052	9606.ENSP00000225275	0	0	0	0	0.061	0.241	0	0.702	0.769
CAT	CCL2	9606.ENSP00000241052	9606.ENSP00000225831	0	0	0	0	0	0	0	0.564	0.564
CAT	IFNG	9606.ENSP00000241052	9606.ENSP00000229135	0	0	0	0	0	0	0	0.514	0.514
CAT	MAPK14	9606.ENSP00000241052	9606.ENSP00000229795	0	0	0	0	0	0.117	0	0.507	0.546
CAT	CTSD	9606.ENSP00000241052	9606.ENSP00000236671	0	0	0	0	0.086	0.138	0	0.381	0.470
CAT	CYP1A2	9606.ENSP00000241052	9606.ENSP00000342007	0.047	0	0	0	0	0	0	0.398	0.401
CAT	FASN	9606.ENSP00000241052	9606.ENSP00000304592	0	0	0	0	0	0.143	0	0.346	0.415
CAT	IKBKB	9606.ENSP00000241052	9606.ENSP00000430684	0.044	0	0	0	0	0.058	0	0.406	0.419
CAT	CYP3A4	9606.ENSP00000241052	9606.ENSP00000337915	0.047	0	0	0	0.049	0	0	0.430	0.438
CAT	EGFR	9606.ENSP00000241052	9606.ENSP00000275493	0	0	0	0	0.062	0	0	0.431	0.443
CAT	IL1A	9606.ENSP00000241052	9606.ENSP00000263339	0	0	0	0	0	0	0	0.450	0.450
CAT	MAOA	9606.ENSP00000241052	9606.ENSP00000340684	0	0	0	0	0.062	0	0	0.446	0.459
CAT	PTPN1	9606.ENSP00000241052	9606.ENSP00000360683	0	0	0	0	0.053	0	0	0.468	0.475
CAT	SREBF1	9606.ENSP00000241052	9606.ENSP00000348069	0	0	0	0	0.062	0	0	0.474	0.486
CAT	MAPK8	9606.ENSP00000241052	9606.ENSP00000378974	0	0	0	0	0	0	0	0.501	0.501
CAT	HSPB1	9606.ENSP00000241052	9606.ENSP00000248553	0	0	0	0	0	0	0	0.508	0.508
CAT	SLC2A4	9606.ENSP00000241052	9606.ENSP00000320935	0	0	0	0	0.052	0.056	0	0.540	0.552
CAT	ESR1	9606.ENSP00000241052	9606.ENSP00000405330	0	0	0	0	0.062	0.270	0	0.400	0.553
CAT	MMP9	9606.ENSP00000241052	9606.ENSP00000361405	0	0	0	0	0	0	0	0.566	0.566
CAT	ICAM1	9606.ENSP00000241052	9606.ENSP00000264832	0	0	0	0	0	0	0	0.574	0.574
CAT	GOT1	9606.ENSP00000241052	9606.ENSP00000359539	0	0	0	0	0.063	0.250	0	0.450	0.579
CAT	CXCL8	9606.ENSP00000241052	9606.ENSP00000306512	0	0	0	0	0	0	0	0.603	0.603
CAT	GSTP1	9606.ENSP00000241052	9606.ENSP00000381607	0	0	0	0	0.053	0.178	0	0.535	0.606
CAT	CRP	9606.ENSP00000241052	9606.ENSP00000255030	0	0	0	0	0.062	0	0	0.605	0.614
CAT	GSTM1	9606.ENSP00000241052	9606.ENSP00000311469	0	0	0	0	0.056	0.178	0	0.556	0.625
CAT	IL10	9606.ENSP00000241052	9606.ENSP00000412237	0	0	0	0	0	0	0	0.633	0.633
CAT	MGAM	9606.ENSP00000241052	9606.ENSP00000447378	0	0	0	0	0.049	0.347	0	0.458	0.634
CAT	PTEN	9606.ENSP00000241052	9606.ENSP00000361021	0	0	0	0	0.053	0.270	0	0.514	0.635
CAT	HIF1A	9606.ENSP00000241052	9606.ENSP00000437955	0	0	0	0	0	0	0	0.648	0.648
CAT	PPARG	9606.ENSP00000241052	9606.ENSP00000287820	0	0	0	0	0	0	0	0.655	0.655
CAT	PPARA	9606.ENSP00000241052	9606.ENSP00000385523	0	0	0	0	0.062	0	0	0.651	0.658
CAT	JUN	9606.ENSP00000241052	9606.ENSP00000360266	0	0	0	0	0	0	0	0.660	0.660
CAT	GSTM2	9606.ENSP00000241052	9606.ENSP00000241337	0	0	0	0	0.053	0.178	0	0.628	0.685
CAT	TP53	9606.ENSP00000241052	9606.ENSP00000269305	0	0	0	0	0	0	0	0.689	0.689
CAT	MAPK3	9606.ENSP00000241052	9606.ENSP00000263025	0	0	0	0	0	0.100	0	0.673	0.693
CAT	XDH	9606.ENSP00000241052	9606.ENSP00000368727	0	0	0	0	0.062	0	0	0.697	0.703
CAT	PTGS2	9606.ENSP00000241052	9606.ENSP00000356438	0	0	0	0	0	0.178	0	0.675	0.721
CAT	IL1B	9606.ENSP00000241052	9606.ENSP00000263341	0	0	0	0	0	0	0	0.734	0.734
CAT	IL6	9606.ENSP00000241052	9606.ENSP00000385675	0	0	0	0	0	0	0	0.756	0.756
CAT	NQO1	9606.ENSP00000241052	9606.ENSP00000319788	0	0	0	0	0.062	0	0	0.755	0.760
CAT	TNF	9606.ENSP00000241052	9606.ENSP00000398698	0	0	0	0	0	0	0	0.779	0.779
CAT	NFE2L2	9606.ENSP00000241052	9606.ENSP00000380252	0	0	0	0	0	0	0	0.812	0.812
CAT	NOS2	9606.ENSP00000241052	9606.ENSP00000327251	0	0	0	0	0.049	0	0.900	0.558	0.954
CAT	SOD1	9606.ENSP00000241052	9606.ENSP00000270142	0.111	0	0	0	0.124	0.520	0.900	0.923	0.996
CCL2	HMOX1	9606.ENSP00000225831	9606.ENSP00000216117	0	0	0	0	0.095	0	0	0.668	0.686
CCL2	MMP2	9606.ENSP00000225831	9606.ENSP00000219070	0	0	0	0	0.155	0	0	0.667	0.706
CCL2	TGFB1	9606.ENSP00000225831	9606.ENSP00000221930	0	0	0	0	0.049	0	0	0.653	0.655
CCL2	PON1	9606.ENSP00000225831	9606.ENSP00000222381	0	0	0	0	0	0	0	0.452	0.452
CCL2	SERPINE1	9606.ENSP00000225831	9606.ENSP00000223095	0	0	0	0	0.122	0	0	0.740	0.762
CCL2	MPO	9606.ENSP00000225831	9606.ENSP00000225275	0	0	0	0	0	0	0	0.682	0.682
CCL2	F2	9606.ENSP00000225831	9606.ENSP00000308541	0	0	0	0	0	0	0	0.416	0.416
CCL2	SOD1	9606.ENSP00000225831	9606.ENSP00000270142	0	0	0	0	0	0	0	0.427	0.426
CCL2	COL3A1	9606.ENSP00000225831	9606.ENSP00000304408	0	0	0	0	0.111	0	0	0.417	0.459
CCL2	NFE2L2	9606.ENSP00000225831	9606.ENSP00000380252	0	0	0	0	0	0	0	0.459	0.459
CCL2	MAPK14	9606.ENSP00000225831	9606.ENSP00000229795	0	0	0	0	0	0	0	0.465	0.465
CCL2	PTEN	9606.ENSP00000225831	9606.ENSP00000361021	0	0	0	0	0.062	0	0	0.455	0.466
CCL2	ESR1	9606.ENSP00000225831	9606.ENSP00000405330	0	0	0	0	0.055	0	0	0.460	0.467
CCL2	DPP4	9606.ENSP00000225831	9606.ENSP00000353731	0	0	0	0	0	0	0	0.495	0.495
CCL2	CHUK	9606.ENSP00000225831	9606.ENSP00000359424	0	0	0	0	0	0	0	0.495	0.495
CCL2	SLC2A4	9606.ENSP00000225831	9606.ENSP00000320935	0	0	0	0	0	0	0	0.517	0.517
CCL2	LDLR	9606.ENSP00000225831	9606.ENSP00000454071	0	0	0	0	0	0	0	0.517	0.517
CCL2	MAPK8	9606.ENSP00000225831	9606.ENSP00000378974	0	0	0	0	0	0	0	0.518	0.518
CCL2	SREBF1	9606.ENSP00000225831	9606.ENSP00000348069	0	0	0	0	0	0	0	0.519	0.519
CCL2	EGFR	9606.ENSP00000225831	9606.ENSP00000275493	0	0	0	0	0.062	0	0	0.517	0.527
CCL2	COL1A1	9606.ENSP00000225831	9606.ENSP00000225964	0	0	0	0	0.098	0	0	0.519	0.547
CCL2	OLR1	9606.ENSP00000225831	9606.ENSP00000309124	0	0	0	0	0.084	0	0	0.558	0.578
CCL2	IKBKB	9606.ENSP00000225831	9606.ENSP00000430684	0	0	0	0	0	0	0	0.602	0.602
CCL2	PPARA	9606.ENSP00000225831	9606.ENSP00000385523	0	0	0	0	0.055	0	0	0.614	0.619
CCL2	NOS2	9606.ENSP00000225831	9606.ENSP00000327251	0	0	0	0	0	0	0	0.624	0.624
CCL2	HIF1A	9606.ENSP00000225831	9606.ENSP00000437955	0	0	0	0	0.062	0	0	0.618	0.626
CCL2	MAPK3	9606.ENSP00000225831	9606.ENSP00000263025	0	0	0	0	0	0	0	0.634	0.634
CCL2	TP53	9606.ENSP00000225831	9606.ENSP00000269305	0	0	0	0	0	0	0	0.644	0.644
CCL2	STAT1	9606.ENSP00000225831	9606.ENSP00000354394	0	0	0	0	0.063	0	0	0.664	0.672
CCL2	CD40LG	9606.ENSP00000225831	9606.ENSP00000359663	0	0	0	0	0	0.057	0	0.681	0.686
CCL2	SPP1	9606.ENSP00000225831	9606.ENSP00000378517	0	0	0	0	0.119	0	0	0.663	0.690
CCL2	MMP1	9606.ENSP00000225831	9606.ENSP00000322788	0	0	0	0	0.109	0.213	0	0.614	0.705
CCL2	PPARG	9606.ENSP00000225831	9606.ENSP00000287820	0	0	0	0	0.055	0	0	0.705	0.709
CCL2	PTGS2	9606.ENSP00000225831	9606.ENSP00000356438	0	0	0	0	0.117	0	0	0.754	0.774
CCL2	MMP9	9606.ENSP00000225831	9606.ENSP00000361405	0	0	0	0	0.076	0	0	0.779	0.787
